Song Name,song Artist,Rank_class,URI,Source,Peak Rank_class,Previous Rank_class,Weeks on Chart_class,Streams_class,next rank_class,Top 10 Count_class,Top 100 Count_class,times popular_class,now popular,language
מעוז צור,"Dudu Tassa, Roni Alter",1,spotify:track:2FMwWEcq2uWnc6ILvodlta,Hed Arzi Ltd.,1,0,3,1,0,1,1,1,0,0
we can't be friends (wait for your love),Ariana Grande,0,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Republic Records,3,0,1,1,0,1,1,1,0,1
Ransom,Ariana Grande,0,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Republic Records,3,0,1,1,0,1,1,1,0,1
שיר לשירה,Ariana Grande,0,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Republic Records,3,0,1,1,3,1,1,1,0,0
אנטארקטיקה,Ariana Grande,0,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Republic Records,3,0,1,1,3,1,1,1,0,0
זן נדיר - Remastered,Ariana Grande,0,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Republic Records,3,0,1,1,3,1,1,1,0,1
שיר לנטע,ניר כנען,2,spotify:track:54WbiFSE71t4GwNln4Z2fe,Helicon Music,2,0,1,1,1,1,2,1,0,0
Pink + White,Frank Ocean,1,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Boys Don't Cry,0,0,1,1,1,1,1,1,0,1
רק אל תלכי,Frank Ocean,1,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Boys Don't Cry,0,0,1,1,1,1,1,1,0,0
Popular,Ariana Grande,1,spotify:track:3i8fIJNV0yuC4kXT3SkVBZ,Universal Studios and Republic Records,0,1,1,1,0,1,1,1,0,1
לא להתאבסס,Anna Zak,1,spotify:track:6RTcp6RWf1IKkxPp9DRYPz,ITModels / Triangle under exclusive license to D-Music,0,0,1,1,0,1,1,1,0,0
סוף סוף אני,Eden Hason,2,spotify:track:04BEjO8G5HQM24fAvAv1cR,Mobile1 Music,1,2,1,1,2,1,1,1,0,0
אם את חייבת/אינטרו,Vibe Ish,1,spotify:track:093NpjRdVPM0zE1GlT4gNo,Mobile1 Music,2,0,1,1,1,1,1,1,0,0
כסף או דמעות,Vibe Ish,1,spotify:track:093NpjRdVPM0zE1GlT4gNo,Mobile1 Music,2,0,1,1,1,1,1,1,0,0
תיק קטן,"STILLA, Ness",0,spotify:track:3mCCFs2hdDM2mObzARzxOg,2023 Va’ad Ha Bait records By PIL LTD,3,0,1,1,1,1,1,1,0,0
Ain't No Sunshine,Bill Withers,0,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,Columbia/Legacy,2,0,1,1,1,1,2,1,0,1
Defying Gravity,"Cynthia Erivo, Ariana Grande",1,spotify:track:5QMrH5nszZZR3nefIj6Mar,Universal Studios and Republic Records,0,3,1,1,1,1,1,1,0,1
י'א 2,Tuna,0,spotify:track:2PpTUW96jjJYr8ib8RUnUu,Anana Ltd.,2,3,3,1,1,1,1,1,0,0
מטומטמת,Tuna,0,spotify:track:2PpTUW96jjJYr8ib8RUnUu,Anana Ltd.,2,3,3,1,0,1,1,1,0,0
